"Tabela 3741 - Taxa de analfabetismo das pessoas de 10 a 17 anos de idade e Percentual de pessoas que não frequentavam escola na população de 10 a 17 anos de idade, por grupos de idade e situação de ocupação na semana de referência"
"Variável - Taxa de analfabetismo das pessoas de 10 a 17 anos de idade (%)"
"Município";"Situação de ocupação na semana de referência";"Ano x Grupo de idade"
"Município";"Situação de ocupação na semana de referência";"2010"
"Município";"Situação de ocupação na semana de referência";"Total"
"Alta Floresta D'Oeste (RO)";"Total";"1,8"
"Ariquemes (RO)";"Total";"1,5"
"Cabixi (RO)";"Total";"1,1"
"Cacoal (RO)";"Total";"1,3"
"Cerejeiras (RO)";"Total";"0,7"
"Colorado do Oeste (RO)";"Total";"0,4"
"Corumbiara (RO)";"Total";"0,7"
"Costa Marques (RO)";"Total";"1,5"
"Espigão D'Oeste (RO)";"Total";"2,4"
"Guajará-Mirim (RO)";"Total";"2,1"
"Jaru (RO)";"Total";"1,0"
"Ji-Paraná (RO)";"Total";"1,1"
"Machadinho D'Oeste (RO)";"Total";"2,4"
"Nova Brasilândia D'Oeste (RO)";"Total";"1,0"
"Ouro Preto do Oeste (RO)";"Total";"1,5"
"Pimenta Bueno (RO)";"Total";"0,6"
"Porto Velho (RO)";"Total";"1,8"
"Presidente Médici (RO)";"Total";"0,7"
"Rio Crespo (RO)";"Total";"0,6"
"Rolim de Moura (RO)";"Total";"0,7"
"Santa Luzia D'Oeste (RO)";"Total";"1,4"
"Vilhena (RO)";"Total";"0,8"
"São Miguel do Guaporé (RO)";"Total";"1,2"
"Nova Mamoré (RO)";"Total";"2,2"
"Alvorada D'Oeste (RO)";"Total";"1,6"
"Alto Alegre dos Parecis (RO)";"Total";"1,6"
"Alto Paraíso (RO)";"Total";"1,7"
"Buritis (RO)";"Total";"2,5"
"Novo Horizonte do Oeste (RO)";"Total";"1,4"
"Cacaulândia (RO)";"Total";"1,4"
"Campo Novo de Rondônia (RO)";"Total";"2,0"
"Candeias do Jamari (RO)";"Total";"2,1"
"Castanheiras (RO)";"Total";"1,0"
"Chupinguaia (RO)";"Total";"2,4"
"Cujubim (RO)";"Total";"2,6"
"Governador Jorge Teixeira (RO)";"Total";"1,1"
"Itapuã do Oeste (RO)";"Total";"1,2"
"Ministro Andreazza (RO)";"Total";"2,1"
"Mirante da Serra (RO)";"Total";"0,7"
"Monte Negro (RO)";"Total";"2,9"
"Nova União (RO)";"Total";"1,2"
"Parecis (RO)";"Total";"1,2"
"Pimenteiras do Oeste (RO)";"Total";"1,2"
"Primavera de Rondônia (RO)";"Total";"1,7"
"São Felipe D'Oeste (RO)";"Total";"1,0"
"São Francisco do Guaporé (RO)";"Total";"1,5"
"Seringueiras (RO)";"Total";"1,0"
"Teixeirópolis (RO)";"Total";"-"
"Theobroma (RO)";"Total";"1,7"
"Urupá (RO)";"Total";"1,9"
"Vale do Anari (RO)";"Total";"3,1"
"Vale do Paraíso (RO)";"Total";"1,6"
"Acrelândia (AC)";"Total";"5,2"
"Assis Brasil (AC)";"Total";"9,5"
"Brasiléia (AC)";"Total";"7,2"
"Bujari (AC)";"Total";"7,4"
"Capixaba (AC)";"Total";"4,7"
"Cruzeiro do Sul (AC)";"Total";"3,8"
"Epitaciolândia (AC)";"Total";"4,4"
"Feijó (AC)";"Total";"19,6"
"Jordão (AC)";"Total";"19,8"
"Mâncio Lima (AC)";"Total";"6,8"
"Manoel Urbano (AC)";"Total";"19,3"
"Marechal Thaumaturgo (AC)";"Total";"18,4"
"Plácido de Castro (AC)";"Total";"3,8"
"Porto Walter (AC)";"Total";"23,0"
"Rio Branco (AC)";"Total";"2,2"
"Rodrigues Alves (AC)";"Total";"11,7"
"Santa Rosa do Purus (AC)";"Total";"39,3"
"Senador Guiomard (AC)";"Total";"2,9"
"Sena Madureira (AC)";"Total";"8,5"
"Tarauacá (AC)";"Total";"13,9"
"Xapuri (AC)";"Total";"11,0"
"Porto Acre (AC)";"Total";"5,2"
"Alvarães (AM)";"Total";"18,2"
"Amaturá (AM)";"Total";"12,4"
"Anamã (AM)";"Total";"4,8"
"Anori (AM)";"Total";"12,1"
"Apuí (AM)";"Total";"2,4"
"Atalaia do Norte (AM)";"Total";"30,0"
"Autazes (AM)";"Total";"8,7"
"Barcelos (AM)";"Total";"25,5"
"Barreirinha (AM)";"Total";"8,3"
"Benjamin Constant (AM)";"Total";"11,6"
"Beruri (AM)";"Total";"12,4"
"Boa Vista do Ramos (AM)";"Total";"6,0"
"Boca do Acre (AM)";"Total";"9,0"
"Borba (AM)";"Total";"9,9"
"Caapiranga (AM)";"Total";"8,3"
"Canutama (AM)";"Total";"17,8"
"Carauari (AM)";"Total";"11,7"
"Careiro (AM)";"Total";"4,9"
"Careiro da Várzea (AM)";"Total";"5,5"
"Coari (AM)";"Total";"10,6"
"Codajás (AM)";"Total";"10,8"
"Eirunepé (AM)";"Total";"16,1"
"Envira (AM)";"Total";"23,4"
"Fonte Boa (AM)";"Total";"14,7"
"Guajará (AM)";"Total";"16,8"
"Humaitá (AM)";"Total";"10,0"
"Ipixuna (AM)";"Total";"20,1"
"Iranduba (AM)";"Total";"8,2"
"Itacoatiara (AM)";"Total";"6,6"
"Itamarati (AM)";"Total";"20,6"
"Itapiranga (AM)";"Total";"2,5"
"Japurá (AM)";"Total";"23,5"
"Juruá (AM)";"Total";"21,2"
"Jutaí (AM)";"Total";"22,6"
"Lábrea (AM)";"Total";"12,2"
"Manacapuru (AM)";"Total";"5,5"
"Manaquiri (AM)";"Total";"7,5"
"Manaus (AM)";"Total";"2,5"
"Manicoré (AM)";"Total";"8,8"
"Maraã (AM)";"Total";"11,8"
"Maués (AM)";"Total";"7,0"
"Nhamundá (AM)";"Total";"2,7"
"Nova Olinda do Norte (AM)";"Total";"7,8"
"Novo Airão (AM)";"Total";"10,1"
"Novo Aripuanã (AM)";"Total";"13,3"
"Parintins (AM)";"Total";"4,4"
"Pauini (AM)";"Total";"25,9"
"Presidente Figueiredo (AM)";"Total";"3,7"
"Rio Preto da Eva (AM)";"Total";"6,9"
"Santa Isabel do Rio Negro (AM)";"Total";"36,1"
"Santo Antônio do Içá (AM)";"Total";"17,4"
"São Gabriel da Cachoeira (AM)";"Total";"5,5"
"São Paulo de Olivença (AM)";"Total";"11,6"
"São Sebastião do Uatumã (AM)";"Total";"3,2"
"Silves (AM)";"Total";"3,4"
"Tabatinga (AM)";"Total";"8,6"
"Tapauá (AM)";"Total";"19,4"
"Tefé (AM)";"Total";"5,3"
"Tonantins (AM)";"Total";"17,0"
"Uarini (AM)";"Total";"11,7"
"Urucará (AM)";"Total";"4,6"
"Urucurituba (AM)";"Total";"5,6"
"Amajari (RR)";"Total";"31,1"
"Alto Alegre (RR)";"Total";"37,7"
"Boa Vista (RR)";"Total";"1,9"
"Bonfim (RR)";"Total";"6,5"
"Cantá (RR)";"Total";"3,2"
"Caracaraí (RR)";"Total";"4,6"
"Caroebe (RR)";"Total";"1,8"
"Iracema (RR)";"Total";"18,1"
"Mucajaí (RR)";"Total";"4,9"
"Normandia (RR)";"Total";"4,6"
"Pacaraima (RR)";"Total";"5,4"
"Rorainópolis (RR)";"Total";"2,8"
"São João da Baliza (RR)";"Total";"2,9"
"São Luiz (RR)";"Total";"3,8"
"Uiramutã (RR)";"Total";"11,0"
"Abaetetuba (PA)";"Total";"5,0"
"Abel Figueiredo (PA)";"Total";"3,3"
"Acará (PA)";"Total";"17,1"
"Afuá (PA)";"Total";"16,0"
"Água Azul do Norte (PA)";"Total";"2,6"
"Alenquer (PA)";"Total";"7,2"
"Almeirim (PA)";"Total";"6,2"
"Altamira (PA)";"Total";"3,9"
"Anajás (PA)";"Total";"17,1"
"Ananindeua (PA)";"Total";"2,5"
"Anapu (PA)";"Total";"8,2"
"Augusto Corrêa (PA)";"Total";"8,8"
"Aurora do Pará (PA)";"Total";"11,5"
"Aveiro (PA)";"Total";"3,4"
"Bagre (PA)";"Total";"19,2"
"Baião (PA)";"Total";"10,4"
"Bannach (PA)";"Total";"6,2"
"Barcarena (PA)";"Total";"2,7"
"Belém (PA)";"Total";"2,2"
"Belterra (PA)";"Total";"3,4"
"Benevides (PA)";"Total";"2,9"
"Bom Jesus do Tocantins (PA)";"Total";"6,0"
"Bonito (PA)";"Total";"13,3"
"Bragança (PA)";"Total";"5,5"
"Brasil Novo (PA)";"Total";"2,9"
"Brejo Grande do Araguaia (PA)";"Total";"7,4"
"Breu Branco (PA)";"Total";"7,0"
"Breves (PA)";"Total";"15,9"
"Bujaru (PA)";"Total";"7,4"
"Cachoeira do Piriá (PA)";"Total";"18,8"
"Cachoeira do Arari (PA)";"Total";"9,1"
"Cametá (PA)";"Total";"5,8"
"Canaã dos Carajás (PA)";"Total";"4,5"
"Capanema (PA)";"Total";"5,8"
"Capitão Poço (PA)";"Total";"10,2"
"Castanhal (PA)";"Total";"2,9"
"Chaves (PA)";"Total";"19,7"
"Colares (PA)";"Total";"4,9"
"Conceição do Araguaia (PA)";"Total";"3,8"
"Concórdia do Pará (PA)";"Total";"9,0"
"Cumaru do Norte (PA)";"Total";"13,1"
