Índice de Gini da renda domiciliar per capita segundo Município - Pará;;;
Período: 1991, 2000 e 2010;;;
Município;1991;2000;2010
150010 Abaetetuba;0,5056;0,5865;0,5389
150013 Abel Figueiredo;...;0,5183;0,5825
150020 Acará;0,5783;0,5018;0,5355
150030 Afuá;0,475;0,4885;0,6604
150034 Água Azul do Norte;...;0,6328;0,526
150040 Alenquer;0,5032;0,5699;0,5968
150050 Almeirim;0,6135;0,7184;0,6573
150060 Altamira;0,5895;0,5838;0,5721
150070 Anajás;0,3901;0,5622;0,6181
150080 Ananindeua;0,5554;0,5395;0,5352
150085 Anapu;...;0,6533;0,5855
150090 Augusto Corrêa;0,4145;0,5008;0,5682
150095 Aurora do Pará;...;0,5605;0,5846
150100 Aveiro;0,5626;0,6452;0,6049
150110 Bagre;0,4297;0,5209;0,4831
150120 Baião;0,5128;0,6462;0,5428
150125 Bannach;...;0,5295;0,6263
150130 Barcarena;0,5673;0,6097;0,5734
150140 Belém;0,6041;0,646;0,6284
150145 Belterra;...;0,6398;0,5922
150150 Benevides;0,5345;0,5852;0,492
150157 Bom Jesus do Tocantins;0,5725;0,582;0,5297
150160 Bonito;0,4789;0,4859;0,5122
150170 Bragança;0,5063;0,565;0,5843
150172 Brasil Novo;...;0,5487;0,6838
150175 Brejo Grande do Araguaia;0,4877;0,5603;0,5805
150178 Breu Branco;...;0,6095;0,5358
150180 Breves;0,5399;0,5758;0,5828
150190 Bujaru;0,5305;0,5221;0,5382
150200 Cachoeira do Arari;0,4988;0,746;0,6134
150195 Cachoeira do Piriá;...;0,5496;0,5805
150210 Cametá;0,502;0,6007;0,581
150215 Canaã dos Carajás;...;0,634;0,5686
150220 Capanema;0,585;0,5983;0,5348
150230 Capitão Poço;0,5172;0,6555;0,5837
150240 Castanhal;0,5751;0,5711;0,5555
150250 Chaves;0,4913;0,5107;0,6732
150260 Colares;0,524;0,6458;0,5657
150270 Conceição do Araguaia;0,529;0,6244;0,5348
150275 Concórdia do Pará;0,5812;0,5742;0,506
150276 Cumaru do Norte;...;0,6301;0,6175
150277 Curionópolis;0,5754;0,5937;0,5527
150280 Curralinho;0,5371;0,5165;0,5749
150285 Curuá;...;0,568;0,6014
150290 Curuçá;0,5274;0,7275;0,5828
150293 Dom Eliseu;0,5437;0,6575;0,535
150295 Eldorado dos Carajás;...;0,6831;0,58
150300 Faro;0,4717;0,5443;0,5606
150304 Floresta do Araguaia;...;0,5722;0,6247
150307 Garrafão do Norte;0,4481;0,5932;0,5453
150309 Goianésia do Pará;...;0,6042;0,5619
150310 Gurupá;0,4944;0,5427;0,568
150320 Igarapé-Açu;0,5583;0,5359;0,5731
150330 Igarapé-Miri;0,4911;0,5225;0,5343
150340 Inhangapi;0,4822;0,6022;0,5257
150345 Ipixuna do Pará;...;0,5932;0,5863
150350 Irituia;0,4575;0,6042;0,5868
150360 Itaituba;0,5995;0,6353;0,577
150370 Itupiranga;0,5221;0,5829;0,6186
150375 Jacareacanga;...;0,641;0,6964
150380 Jacundá;0,5793;0,6268;0,6113
150390 Juruti;0,5038;0,6097;0,603
150400 Limoeiro do Ajuru;0,4449;0,4946;0,5793
150405 Mãe do Rio;0,5829;0,5954;0,5886
150410 Magalhães Barata;0,4291;0,6585;0,5478
150420 Marabá;0,6018;0,6291;0,5978
150430 Maracanã;0,4765;0,5834;0,6026
150440 Marapanim;0,5065;0,5415;0,5487
150442 Marituba;...;0,5314;0,4477
150445 Medicilândia;0,6201;0,6648;0,6138
150450 Melgaço;0,4626;0,4591;0,5537
150460 Mocajuba;0,463;0,5577;0,5921
150470 Moju;0,4967;0,5641;0,6325
150480 Monte Alegre;0,5101;0,591;0,5994
150490 Muaná;0,4961;0,56;0,5671
150495 Nova Esperança do Piriá;...;0,6581;0,6405
150497 Nova Ipixuna;...;0,585;0,5978
150500 Nova Timboteua;0,5517;0,4796;0,5192
150503 Novo Progresso;...;0,5608;0,5563
150506 Novo Repartimento;...;0,657;0,5957
150510 Óbidos;0,5064;0,5397;0,5914
150520 Oeiras do Pará;0,4831;0,5155;0,5716
150530 Oriximiná;0,6019;0,6201;0,6535
150540 Ourém;0,4642;0,5983;0,6305
150543 Ourilândia do Norte;0,6035;0,6366;0,5812
150548 Pacajá;0,6234;0,7355;0,6628
150549 Palestina do Pará;...;0,6467;0,5611
150550 Paragominas;0,5675;0,6214;0,6151
150553 Parauapebas;0,6027;0,6668;0,5452
150555 Pau D'Arco;...;0,548;0,5103
150560 Peixe-Boi;0,5272;0,586;0,5668
150563 Piçarra;...;0,5382;0,5264
150565 Placas;...;0,5815;0,592
150570 Ponta de Pedras;0,4605;0,5723;0,6104
150580 Portel;0,4834;0,6621;0,6523
150590 Porto de Moz;0,5222;0,6173;0,5993
150600 Prainha;0,4325;0,5752;0,682
150610 Primavera;0,6165;0,6339;0,655
150611 Quatipuru;...;0,5329;0,6068
150613 Redenção;0,5563;0,6034;0,537
150616 Rio Maria;0,5941;0,6212;0,5365
150618 Rondon do Pará;0,535;0,5923;0,5647
150619 Rurópolis;0,5558;0,5875;0,565
150620 Salinópolis;0,4669;0,6222;0,5277
150630 Salvaterra;0,5573;0,5488;0,5729
150635 Santa Bárbara do Pará;...;0,5072;0,5346
150640 Santa Cruz do Arari;0,5694;0,6111;0,5267
150650 Santa Isabel do Pará;0,5719;0,5659;0,5225
150655 Santa Luzia do Pará;...;0,5877;0,5692
150658 Santa Maria das Barreiras;0,6363;0,6091;0,5682
150660 Santa Maria do Pará;0,6216;0,5632;0,5313
150670 Santana do Araguaia;0,6258;0,6091;0,4721
