 Abastecimento de água - Pará
Moradores por Município
Período:2010
"Município";"Moradores"
" MUNICIPIO IGNORADO - PA";-
"150010 ABAETETUBA";140090
"150013 ABEL FIGUEIREDO";6725
"150020 ACARA";53042
"150030 AFUA";34893
"150034 AGUA AZUL DO NORTE";24589
"150040 ALENQUER";52443
"150050 ALMEIRIM";33399
"150060 ALTAMIRA";98097
"150070 ANAJAS";24661
"150080 ANANINDEUA";470425
"150085 ANAPU";20477
"150090 AUGUSTO CORREA";40459
"150095 AURORA DO PARA";26486
"150100 AVEIRO";15798
"150110 BAGRE";21797
"150120 BAIAO";36715
"150125 BANNACH";3391
"150130 BARCARENA";99583
"150140 BELEM";1385629
"150145 BELTERRA";16241
"150150 BENEVIDES";51339
"150157 BOM JESUS DO TOCANTINS";15213
"150160 BONITO";13590
"150170 BRAGANCA";112694
"150172 BRASIL NOVO";15612
"150175 BREJO GRANDE DO ARAGUAIA";7276
"150178 BREU BRANCO";52286
"150180 BREVES";92102
"150190 BUJARU";25617
"150195 CACHOEIRA DO PIRIA";26381
"150200 CACHOEIRA DO ARARI";20341
"150210 CAMETA";120684
"150215 CANAA DOS CARAJAS";26564
"150220 CAPANEMA";63268
"150230 CAPITAO POCO";51648
"150240 CASTANHAL";172250
"150250 CHAVES";20921
"150260 COLARES";11325
"150270 CONCEICAO DO ARAGUAIA";45360
"150275 CONCORDIA DO PARA";28014
"150276 CUMARU DO NORTE";9936
"150277 CURIONOPOLIS";18241
"150280 CURRALINHO";27770
"150285 CURUA";12239
"150290 CURUCA";34262
"150293 DOM ELISEU";50827
"150295 ELDORADO DOS CARAJAS";30950
"150300 FARO";8145
"150304 FLORESTA DO ARAGUAIA";17725
"150307 GARRAFAO DO NORTE";24942
"150309 GOIANESIA DO PARA";30311
"150310 GURUPA";28953
"150320 IGARAPE-ACU";35773
"150330 IGARAPE-MIRI";57732
"150340 INHANGAPI";10025
"150345 IPIXUNA DO PARA";51163
"150350 IRITUIA";31289
"150360 ITAITUBA";95519
"150370 ITUPIRANGA";50708
"150375 JACAREACANGA";12118
"150380 JACUNDA";51026
"150390 JURUTI";46204
"150400 LIMOEIRO DO AJURU";25005
"150405 MAE DO RIO";27800
"150410 MAGALHAES BARATA";8096
"150420 MARABA";231824
"150430 MARACANA";28220
"150440 MARAPANIM";26504
"150442 MARITUBA";107490
"150445 MEDICILANDIA";27113
"150450 MELGACO";24743
"150460 MOCAJUBA";26622
"150470 MOJU";69396
"150475 MOJUI DOS CAMPOS";-
"150480 MONTE ALEGRE";55229
"150490 MUANA";34133
"150495 NOVA ESPERANCA DO PIRIA";20064
"150497 NOVA IPIXUNA";14567
"150500 NOVA TIMBOTEUA";13619
"150503 NOVO PROGRESSO";24869
"150506 NOVO REPARTIMENTO";61580
"150510 OBIDOS";48959
"150520 OEIRAS DO PARA";28587
"150530 ORIXIMINA";62500
"150540 OUREM";16230
"150543 OURILANDIA DO NORTE";27096
"150548 PACAJA";39356
"150549 PALESTINA DO PARA";7409
"150550 PARAGOMINAS";97273
"150553 PARAUAPEBAS";153407
"150555 PAU D'ARCO";5996
"150560 PEIXE-BOI";7826
"150563 PICARRA";12594
"150565 PLACAS";23420
"150570 PONTA DE PEDRAS";25800
"150580 PORTEL";51715
"150590 PORTO DE MOZ";33426
"150600 PRAINHA";29106
"150610 PRIMAVERA";10244
"150611 QUATIPURU";12374
"150613 REDENCAO";73671
"150616 RIO MARIA";17625
"150618 RONDON DO PARA";46778
"150619 RUROPOLIS";39346
"150620 SALINOPOLIS";36877
"150630 SALVATERRA";20055
"150635 SANTA BARBARA DO PARA";17096
"150640 SANTA CRUZ DO ARARI";8125
"150650 SANTA IZABEL DO PARA";56498
"150655 SANTA LUZIA DO PARA";19319
"150658 SANTA MARIA DAS BARREIRAS";17023
"150660 SANTA MARIA DO PARA";22950
"150670 SANTANA DO ARAGUAIA";55063
"150680 SANTAREM";293092
"150690 SANTAREM NOVO";6131
"150700 SANTO ANTONIO DO TAUA";26618
"150710 SAO CAETANO DE ODIVELAS";16843
"150715 SAO DOMINGOS DO ARAGUAIA";23070
"150720 SAO DOMINGOS DO CAPIM";29758
"150730 SAO FELIX DO XINGU";89722
"150740 SAO FRANCISCO DO PARA";15001
"150745 SAO GERALDO DO ARAGUAIA";25362
"150746 SAO JOAO DA PONTA";5260
"150747 SAO JOAO DE PIRABAS";20514
"150750 SAO JOAO DO ARAGUAIA";13114
"150760 SAO MIGUEL DO GUAMA";51379
"150770 SAO SEBASTIAO DA BOA VISTA";22857
"150775 SAPUCAIA";5004
"150780 SENADOR JOSE PORFIRIO";12965
"150790 SOURE";22904
"150795 TAILANDIA";78641
"150796 TERRA ALTA";10253
"150797 TERRA SANTA";16885
"150800 TOME-ACU";56146
"150803 TRACUATEUA";27379
"150805 TRAIRAO";16728
"150808 TUCUMA";33551
"150810 TUCURUI";96649
"150812 ULIANOPOLIS";43133
"150815 URUARA";44275
"150820 VIGIA";47813
"150830 VISEU";56523
"150835 VITORIA DO XINGU";13256
"150840 XINGUARA";40194
"Total";7524921
 Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
