 População Residente - Pará
População residente por Município
Período:2010
"Município";"População_residente"
" MUNICIPIO IGNORADO - PA";-
"150010 ABAETETUBA";141100
"150013 ABEL FIGUEIREDO";6780
"150020 ACARA";53569
"150030 AFUA";35042
"150034 AGUA AZUL DO NORTE";25057
"150040 ALENQUER";52626
"150050 ALMEIRIM";33614
"150060 ALTAMIRA";99075
"150070 ANAJAS";24759
"150080 ANANINDEUA";471980
"150085 ANAPU";20543
"150090 AUGUSTO CORREA";40497
"150095 AURORA DO PARA";26546
"150100 AVEIRO";15849
"150110 BAGRE";23864
"150120 BAIAO";36882
"150125 BANNACH";3431
"150130 BARCARENA";99859
"150140 BELEM";1393399
"150145 BELTERRA";16318
"150150 BENEVIDES";51651
"150157 BOM JESUS DO TOCANTINS";15298
"150160 BONITO";13630
"150170 BRAGANCA";113227
"150172 BRASIL NOVO";15690
"150175 BREJO GRANDE DO ARAGUAIA";7317
"150178 BREU BRANCO";52493
"150180 BREVES";92860
"150190 BUJARU";25695
"150195 CACHOEIRA DO PIRIA";26484
"150200 CACHOEIRA DO ARARI";20443
"150210 CAMETA";120896
"150215 CANAA DOS CARAJAS";26716
"150220 CAPANEMA";63639
"150230 CAPITAO POCO";51893
"150240 CASTANHAL";173149
"150250 CHAVES";21005
"150260 COLARES";11381
"150270 CONCEICAO DO ARAGUAIA";45557
"150275 CONCORDIA DO PARA";28216
"150276 CUMARU DO NORTE";10466
"150277 CURIONOPOLIS";18288
"150280 CURRALINHO";28549
"150285 CURUA";12254
"150290 CURUCA";34294
"150293 DOM ELISEU";51319
"150295 ELDORADO DOS CARAJAS";31786
"150300 FARO";8177
"150304 FLORESTA DO ARAGUAIA";17768
"150307 GARRAFAO DO NORTE";25034
"150309 GOIANESIA DO PARA";30436
"150310 GURUPA";29062
"150320 IGARAPE-ACU";35887
"150330 IGARAPE-MIRI";58077
"150340 INHANGAPI";10037
"150345 IPIXUNA DO PARA";51309
"150350 IRITUIA";31364
"150360 ITAITUBA";97493
"150370 ITUPIRANGA";51220
"150375 JACAREACANGA";14103
"150380 JACUNDA";51360
"150390 JURUTI";47086
"150400 LIMOEIRO DO AJURU";25021
"150405 MAE DO RIO";27904
"150410 MAGALHAES BARATA";8115
"150420 MARABA";233669
"150430 MARACANA";28376
"150440 MARAPANIM";26605
"150442 MARITUBA";108246
"150445 MEDICILANDIA";27328
"150450 MELGACO";24808
"150460 MOCAJUBA";26731
"150470 MOJU";70018
"150475 MOJUI DOS CAMPOS";-
"150480 MONTE ALEGRE";55462
"150490 MUANA";34204
"150495 NOVA ESPERANCA DO PIRIA";20158
"150497 NOVA IPIXUNA";14645
"150500 NOVA TIMBOTEUA";13670
"150503 NOVO PROGRESSO";25124
"150506 NOVO REPARTIMENTO";62050
"150510 OBIDOS";49333
"150520 OEIRAS DO PARA";28595
"150530 ORIXIMINA";62794
"150540 OUREM";16311
"150543 OURILANDIA DO NORTE";27359
"150548 PACAJA";39979
"150549 PALESTINA DO PARA";7475
"150550 PARAGOMINAS";97819
"150553 PARAUAPEBAS";153908
"150555 PAU D'ARCO";6033
"150560 PEIXE-BOI";7854
"150563 PICARRA";12697
"150565 PLACAS";23934
"150570 PONTA DE PEDRAS";25999
"150580 PORTEL";52172
"150590 PORTO DE MOZ";33956
"150600 PRAINHA";29349
"150610 PRIMAVERA";10268
"150611 QUATIPURU";12411
"150613 REDENCAO";75556
"150616 RIO MARIA";17697
"150618 RONDON DO PARA";46964
"150619 RUROPOLIS";40087
"150620 SALINOPOLIS";37421
"150630 SALVATERRA";20183
"150635 SANTA BARBARA DO PARA";17141
"150640 SANTA CRUZ DO ARARI";8155
"150650 SANTA IZABEL DO PARA";59466
"150655 SANTA LUZIA DO PARA";19424
"150658 SANTA MARIA DAS BARREIRAS";17206
"150660 SANTA MARIA DO PARA";23026
"150670 SANTANA DO ARAGUAIA";56153
"150680 SANTAREM";294580
"150690 SANTAREM NOVO";6141
"150700 SANTO ANTONIO DO TAUA";26674
"150710 SAO CAETANO DE ODIVELAS";16891
"150715 SAO DOMINGOS DO ARAGUAIA";23130
"150720 SAO DOMINGOS DO CAPIM";29846
"150730 SAO FELIX DO XINGU";91340
"150740 SAO FRANCISCO DO PARA";15060
"150745 SAO GERALDO DO ARAGUAIA";25587
"150746 SAO JOAO DA PONTA";5265
"150747 SAO JOAO DE PIRABAS";20647
"150750 SAO JOAO DO ARAGUAIA";13155
"150760 SAO MIGUEL DO GUAMA";51567
"150770 SAO SEBASTIAO DA BOA VISTA";22904
"150775 SAPUCAIA";5047
"150780 SENADOR JOSE PORFIRIO";13045
"150790 SOURE";23001
"150795 TAILANDIA";79297
"150796 TERRA ALTA";10262
"150797 TERRA SANTA";16949
"150800 TOME-ACU";56518
"150803 TRACUATEUA";27455
"150805 TRAIRAO";16875
"150808 TUCUMA";33690
"150810 TUCURUI";97128
"150812 ULIANOPOLIS";43341
"150815 URUARA";44789
"150820 VIGIA";47889
"150830 VISEU";56716
"150835 VITORIA DO XINGU";13431
"150840 XINGUARA";40573
"Total";7581051
 Fontes:
 
 1980, 1991, 2000 e 2010: IBGE - Censos Demográficos
 1996: IBGE - Contagem Populacional
 1981-1990, 1992-1999, 2001-2006: IBGE - Estimativas preliminares para os anos intercensitários dos totais populacionais, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
 2007-2009: IBGE - Estimativas elaboradas no âmbito do Projeto UNFPA/IBGE (BRA/4/P31A) - População e Desenvolvimento. Coordenação de População e Indicadores Sociais.
 2011-2012: IBGE - Estimativas populacionais enviadas para o TCU, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
 
 Para alguns anos, os dados aqui apresentados não são comparáveis com as
 
 estimativas populacionais fornecidas ao TCU, devido a diferenças metodológicas para estimar e projetar os contingentes populacionais.
 Veja a nota técnica para detalhes da metodologia.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
