"Tabela 1973 - Pessoas que frequentavam creche ou escola por nível de ensino, sexo e grupos de idade"
"Variável - Pessoas que frequentavam escola ou creche (Pessoas)"
"Brasil e Município";"Grupo de idade";"Ano x Nível de ensino ou curso que frequentavam x Sexo"
"Município";"Grupo de idade";"qtd_sup_10"
"Brasil e Município";"Grupo de idade";"Superior de graduação"
"Brasil e Município";"Grupo de idade";"Total"
"Brasil";"Total";"6197318"
"Alta Floresta D'Oeste (RO)";"Total";"655"
"Ariquemes (RO)";"Total";"3203"
"Cabixi (RO)";"Total";"139"
"Cacoal (RO)";"Total";"3823"
"Cerejeiras (RO)";"Total";"426"
"Colorado do Oeste (RO)";"Total";"845"
"Corumbiara (RO)";"Total";"88"
"Costa Marques (RO)";"Total";"258"
"Espigão D'Oeste (RO)";"Total";"655"
"Guajará-Mirim (RO)";"Total";"887"
"Jaru (RO)";"Total";"1302"
"Ji-Paraná (RO)";"Total";"4005"
"Machadinho D'Oeste (RO)";"Total";"502"
"Nova Brasilândia D'Oeste (RO)";"Total";"316"
"Ouro Preto do Oeste (RO)";"Total";"985"
"Pimenta Bueno (RO)";"Total";"1199"
"Porto Velho (RO)";"Total";"19252"
"Presidente Médici (RO)";"Total";"497"
"Rio Crespo (RO)";"Total";"46"
"Rolim de Moura (RO)";"Total";"2019"
"Santa Luzia D'Oeste (RO)";"Total";"174"
"Vilhena (RO)";"Total";"3493"
"São Miguel do Guaporé (RO)";"Total";"315"
"Nova Mamoré (RO)";"Total";"314"
"Alvorada D'Oeste (RO)";"Total";"282"
"Alto Alegre dos Parecis (RO)";"Total";"247"
"Alto Paraíso (RO)";"Total";"236"
"Buritis (RO)";"Total";"331"
"Novo Horizonte do Oeste (RO)";"Total";"176"
"Cacaulândia (RO)";"Total";"97"
"Campo Novo de Rondônia (RO)";"Total";"89"
"Candeias do Jamari (RO)";"Total";"356"
"Castanheiras (RO)";"Total";"78"
"Chupinguaia (RO)";"Total";"126"
"Cujubim (RO)";"Total";"179"
"Governador Jorge Teixeira (RO)";"Total";"74"
"Itapuã do Oeste (RO)";"Total";"139"
"Ministro Andreazza (RO)";"Total";"266"
"Mirante da Serra (RO)";"Total";"166"
"Monte Negro (RO)";"Total";"237"
"Nova União (RO)";"Total";"61"
"Parecis (RO)";"Total";"33"
"Pimenteiras do Oeste (RO)";"Total";"25"
"Primavera de Rondônia (RO)";"Total";"93"
"São Felipe D'Oeste (RO)";"Total";"161"
"São Francisco do Guaporé (RO)";"Total";"186"
"Seringueiras (RO)";"Total";"39"
"Teixeirópolis (RO)";"Total";"41"
"Theobroma (RO)";"Total";"78"
"Urupá (RO)";"Total";"140"
"Vale do Anari (RO)";"Total";"132"
"Vale do Paraíso (RO)";"Total";"136"
"Acrelândia (AC)";"Total";"233"
"Assis Brasil (AC)";"Total";"156"
"Brasiléia (AC)";"Total";"466"
"Bujari (AC)";"Total";"162"
"Capixaba (AC)";"Total";"45"
"Cruzeiro do Sul (AC)";"Total";"2202"
"Epitaciolândia (AC)";"Total";"618"
"Feijó (AC)";"Total";"449"
"Jordão (AC)";"Total";"106"
"Mâncio Lima (AC)";"Total";"412"
"Manoel Urbano (AC)";"Total";"84"
"Marechal Thaumaturgo (AC)";"Total";"215"
"Plácido de Castro (AC)";"Total";"253"
"Porto Walter (AC)";"Total";"153"
"Rio Branco (AC)";"Total";"15679"
"Rodrigues Alves (AC)";"Total";"260"
"Santa Rosa do Purus (AC)";"Total";"112"
"Senador Guiomard (AC)";"Total";"661"
"Sena Madureira (AC)";"Total";"724"
"Tarauacá (AC)";"Total";"474"
"Xapuri (AC)";"Total";"251"
"Porto Acre (AC)";"Total";"285"
"Alvarães (AM)";"Total";"160"
"Amaturá (AM)";"Total";"180"
"Anamã (AM)";"Total";"95"
"Anori (AM)";"Total";"98"
"Apuí (AM)";"Total";"263"
"Atalaia do Norte (AM)";"Total";"137"
"Autazes (AM)";"Total";"222"
"Barcelos (AM)";"Total";"73"
"Barreirinha (AM)";"Total";"126"
"Benjamin Constant (AM)";"Total";"815"
"Beruri (AM)";"Total";"97"
"Boa Vista do Ramos (AM)";"Total";"103"
"Boca do Acre (AM)";"Total";"128"
"Borba (AM)";"Total";"242"
"Caapiranga (AM)";"Total";"81"
"Canutama (AM)";"Total";"32"
"Carauari (AM)";"Total";"137"
"Careiro (AM)";"Total";"177"
"Careiro da Várzea (AM)";"Total";"174"
"Coari (AM)";"Total";"1207"
"Codajás (AM)";"Total";"211"
"Eirunepé (AM)";"Total";"123"
"Envira (AM)";"Total";"73"
"Fonte Boa (AM)";"Total";"166"
"Guajará (AM)";"Total";"224"
"Humaitá (AM)";"Total";"992"
"Ipixuna (AM)";"Total";"81"
"Iranduba (AM)";"Total";"498"
"Itacoatiara (AM)";"Total";"1690"
"Itamarati (AM)";"Total";"39"
"Itapiranga (AM)";"Total";"139"
"Japurá (AM)";"Total";"76"
"Juruá (AM)";"Total";"141"
"Jutaí (AM)";"Total";"48"
"Lábrea (AM)";"Total";"293"
"Manacapuru (AM)";"Total";"1264"
"Manaquiri (AM)";"Total";"141"
"Manaus (AM)";"Total";"88394"
"Manicoré (AM)";"Total";"332"
"Maraã (AM)";"Total";"195"
"Maués (AM)";"Total";"585"
"Nhamundá (AM)";"Total";"129"
"Nova Olinda do Norte (AM)";"Total";"181"
"Novo Airão (AM)";"Total";"258"
"Novo Aripuanã (AM)";"Total";"155"
"Parintins (AM)";"Total";"2686"
"Pauini (AM)";"Total";"70"
"Presidente Figueiredo (AM)";"Total";"585"
"Rio Preto da Eva (AM)";"Total";"308"
"Santa Isabel do Rio Negro (AM)";"Total";"104"
"Santo Antônio do Içá (AM)";"Total";"128"
"São Gabriel da Cachoeira (AM)";"Total";"346"
"São Paulo de Olivença (AM)";"Total";"238"
"São Sebastião do Uatumã (AM)";"Total";"131"
"Silves (AM)";"Total";"53"
"Tabatinga (AM)";"Total";"1320"
"Tapauá (AM)";"Total";"140"
"Tefé (AM)";"Total";"1333"
"Tonantins (AM)";"Total";"96"
"Uarini (AM)";"Total";"126"
"Urucará (AM)";"Total";"37"
"Urucurituba (AM)";"Total";"81"
"Amajari (RR)";"Total";"35"
"Alto Alegre (RR)";"Total";"385"
"Boa Vista (RR)";"Total";"17207"
"Bonfim (RR)";"Total";"143"
"Cantá (RR)";"Total";"226"
"Caracaraí (RR)";"Total";"471"
"Caroebe (RR)";"Total";"288"
"Iracema (RR)";"Total";"173"
"Mucajaí (RR)";"Total";"443"
"Normandia (RR)";"Total";"104"
"Pacaraima (RR)";"Total";"205"
"Rorainópolis (RR)";"Total";"480"
"São João da Baliza (RR)";"Total";"229"
"São Luiz (RR)";"Total";"265"
"Uiramutã (RR)";"Total";"45"
"Abaetetuba (PA)";"Total";"2437"
