"Tabela 2031 - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência por posição na ocupação e categoria do emprego no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência (Pessoas)"
"Brasil e Município";"Ano x Posição na ocupação e categoria do emprego no trabalho principal"
"Brasil e Município";"2010"
"Brasil e Município";"Total"
"Brasil";"86353839"
"Abaetetuba (PA)";"53177"
"Abel Figueiredo (PA)";"2463"
"Acará (PA)";"20977"
"Afuá (PA)";"9884"
"Água Azul do Norte (PA)";"8261"
"Alenquer (PA)";"18307"
"Almeirim (PA)";"12793"
"Altamira (PA)";"42287"
"Anajás (PA)";"7616"
"Ananindeua (PA)";"199899"
"Anapu (PA)";"9268"
"Augusto Corrêa (PA)";"12360"
"Aurora do Pará (PA)";"7104"
"Aveiro (PA)";"5594"
"Bagre (PA)";"7508"
"Baião (PA)";"14524"
"Bannach (PA)";"1348"
"Barcarena (PA)";"37099"
"Belém (PA)";"595399"
"Belterra (PA)";"5041"
"Benevides (PA)";"19576"
"Bom Jesus do Tocantins (PA)";"6092"
"Bonito (PA)";"5303"
"Bragança (PA)";"41755"
"Brasil Novo (PA)";"6210"
"Brejo Grande do Araguaia (PA)";"2743"
"Breu Branco (PA)";"16465"
"Breves (PA)";"30283"
"Bujaru (PA)";"9435"
"Cachoeira do Piriá (PA)";"7916"
"Cachoeira do Arari (PA)";"6474"
"Cametá (PA)";"46232"
"Canaã dos Carajás (PA)";"11027"
"Capanema (PA)";"25028"
"Capitão Poço (PA)";"21174"
"Castanhal (PA)";"67766"
"Chaves (PA)";"6738"
"Colares (PA)";"3866"
"Conceição do Araguaia (PA)";"18239"
"Concórdia do Pará (PA)";"10653"
"Cumaru do Norte (PA)";"4457"
"Curionópolis (PA)";"5724"
"Curralinho (PA)";"9335"
"Curuá (PA)";"4360"
"Curuçá (PA)";"10390"
"Dom Eliseu (PA)";"19584"
"Eldorado do Carajás (PA)";"11746"
"Faro (PA)";"2545"
"Floresta do Araguaia (PA)";"6129"
"Garrafão do Norte (PA)";"10480"
"Goianésia do Pará (PA)";"10623"
"Gurupá (PA)";"9739"
"Igarapé-Açu (PA)";"12694"
"Igarapé-Miri (PA)";"21367"
"Inhangapi (PA)";"3403"
"Ipixuna do Pará (PA)";"13261"
"Irituia (PA)";"13432"
"Itaituba (PA)";"37741"
"Itupiranga (PA)";"16471"
"Jacareacanga (PA)";"4809"
"Jacundá (PA)";"18441"
"Juruti (PA)";"15862"
"Limoeiro do Ajuru (PA)";"9859"
"Mãe do Rio (PA)";"10116"
"Magalhães Barata (PA)";"2448"
"Marabá (PA)";"93234"
"Maracanã (PA)";"9694"
"Marapanim (PA)";"10249"
"Marituba (PA)";"40003"
"Medicilândia (PA)";"11393"
"Melgaço (PA)";"6899"
"Mocajuba (PA)";"10397"
"Moju (PA)";"26015"
"Monte Alegre (PA)";"19955"
"Muaná (PA)";"11319"
"Nova Esperança do Piriá (PA)";"6861"
"Nova Ipixuna (PA)";"5711"
"Nova Timboteua (PA)";"5149"
"Novo Progresso (PA)";"12747"
"Novo Repartimento (PA)";"22370"
"Óbidos (PA)";"18591"
"Oeiras do Pará (PA)";"10255"
"Oriximiná (PA)";"21979"
"Ourém (PA)";"5355"
"Ourilândia do Norte (PA)";"10803"
"Pacajá (PA)";"13352"
"Palestina do Pará (PA)";"2482"
"Paragominas (PA)";"38063"
"Parauapebas (PA)";"63804"
"Pau D'Arco (PA)";"1953"
"Peixe-Boi (PA)";"2425"
"Piçarra (PA)";"4301"
"Placas (PA)";"9058"
"Ponta de Pedras (PA)";"8461"
"Portel (PA)";"15867"
"Porto de Moz (PA)";"12333"
"Prainha (PA)";"10025"
"Primavera (PA)";"3733"
"Quatipuru (PA)";"4340"
"Redenção (PA)";"32783"
"Rio Maria (PA)";"7594"
"Rondon do Pará (PA)";"17322"
"Rurópolis (PA)";"13858"
"Salinópolis (PA)";"16402"
"Salvaterra (PA)";"7212"
"Santa Bárbara do Pará (PA)";"5823"
"Santa Cruz do Arari (PA)";"2413"
"Santa Izabel do Pará (PA)";"22377"
"Santa Luzia do Pará (PA)";"5896"
"Santa Maria das Barreiras (PA)";"5721"
"Santa Maria do Pará (PA)";"9492"
"Santana do Araguaia (PA)";"20178"
"Santarém (PA)";"114556"
"Santarém Novo (PA)";"1663"
"Santo Antônio do Tauá (PA)";"10126"
"São Caetano de Odivelas (PA)";"6082"
"São Domingos do Araguaia (PA)";"8797"
"São Domingos do Capim (PA)";"11451"
"São Félix do Xingu (PA)";"32629"
"São Francisco do Pará (PA)";"5292"
"São Geraldo do Araguaia (PA)";"9634"
"São João da Ponta (PA)";"2052"
"São João de Pirabas (PA)";"6236"
"São João do Araguaia (PA)";"4457"
"São Miguel do Guamá (PA)";"20166"
"São Sebastião da Boa Vista (PA)";"7549"
"Sapucaia (PA)";"2234"
"Senador José Porfírio (PA)";"4827"
"Soure (PA)";"7816"
"Tailândia (PA)";"23120"
"Terra Alta (PA)";"3319"
"Terra Santa (PA)";"6337"
"Tomé-Açu (PA)";"21909"
"Tracuateua (PA)";"9846"
"Trairão (PA)";"6740"
"Tucumã (PA)";"16668"
"Tucuruí (PA)";"37710"
"Ulianópolis (PA)";"13136"
"Uruará (PA)";"17683"
"Vigia (PA)";"17595"
"Viseu (PA)";"14923"
"Vitória do Xingu (PA)";"5257"
"Xinguara (PA)";"16909"
"Fonte: IBGE - Censo Demográfico"

"Notas"
"1 - Os dados são dos Primeiros resultados da amostra."
"2 - A categoria Empregados - com carteira de trabalho assinada inclui os trabalhadores domésticos."
"3 - A categoria Empregados - outros sem carteira de trabalho assinada inclui os aprendizes ou estagiários sem remuneração."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
