 Taxa de analfabetismo - Pará
Taxa de analfabetismo por Município
Período:2010
"Município";"Taxa_de_analfabetismo"
" MUNICIPIO IGNORADO - PA";...
"150010 ABAETETUBA";13,0
"150013 ABEL FIGUEIREDO";17,0
"150020 ACARA";20,6
"150030 AFUA";27,8
"150034 AGUA AZUL DO NORTE";13,0
"150040 ALENQUER";15,5
"150050 ALMEIRIM";12,2
"150060 ALTAMIRA";12,8
"150070 ANAJAS";31,2
"150080 ANANINDEUA";3,4
"150085 ANAPU";19,0
"150090 AUGUSTO CORREA";23,7
"150095 AURORA DO PARA";24,1
"150100 AVEIRO";13,3
"150110 BAGRE";23,9
"150120 BAIAO";13,8
"150125 BANNACH";15,0
"150130 BARCARENA";8,1
"150140 BELEM";3,3
"150145 BELTERRA";11,8
"150150 BENEVIDES";6,3
"150157 BOM JESUS DO TOCANTINS";21,5
"150160 BONITO";22,5
"150170 BRAGANCA";15,3
"150172 BRASIL NOVO";18,7
"150175 BREJO GRANDE DO ARAGUAIA";19,5
"150178 BREU BRANCO";19,6
"150180 BREVES";25,8
"150190 BUJARU";14,8
"150195 CACHOEIRA DO PIRIA";32,7
"150200 CACHOEIRA DO ARARI";14,8
"150210 CAMETA";10,4
"150215 CANAA DOS CARAJAS";9,6
"150220 CAPANEMA";14,0
"150230 CAPITAO POCO";24,1
"150240 CASTANHAL";7,5
"150250 CHAVES";29,9
"150260 COLARES";10,7
"150270 CONCEICAO DO ARAGUAIA";14,7
"150275 CONCORDIA DO PARA";19,1
"150276 CUMARU DO NORTE";22,9
"150277 CURIONOPOLIS";18,7
"150280 CURRALINHO";20,2
"150285 CURUA";13,7
"150290 CURUCA";8,5
"150293 DOM ELISEU";16,6
"150295 ELDORADO DOS CARAJAS";22,1
"150300 FARO";10,2
"150304 FLORESTA DO ARAGUAIA";18,6
"150307 GARRAFAO DO NORTE";28,7
"150309 GOIANESIA DO PARA";24,5
"150310 GURUPA";22,4
"150320 IGARAPE-ACU";16,7
"150330 IGARAPE-MIRI";18,7
"150340 INHANGAPI";15,0
"150345 IPIXUNA DO PARA";24,2
"150350 IRITUIA";19,0
"150360 ITAITUBA";13,6
"150370 ITUPIRANGA";23,4
"150375 JACAREACANGA";25,3
"150380 JACUNDA";16,0
"150390 JURUTI";9,8
"150400 LIMOEIRO DO AJURU";14,3
"150405 MAE DO RIO";16,9
"150410 MAGALHAES BARATA";11,7
"150420 MARABA";10,6
"150430 MARACANA";12,3
"150440 MARAPANIM";9,7
"150442 MARITUBA";5,1
"150445 MEDICILANDIA";18,8
"150450 MELGACO";38,5
"150460 MOCAJUBA";10,1
"150470 MOJU";18,9
"150475 MOJUI DOS CAMPOS";...
"150480 MONTE ALEGRE";14,1
"150490 MUANA";13,0
"150495 NOVA ESPERANCA DO PIRIA";26,0
"150497 NOVA IPIXUNA";21,6
"150500 NOVA TIMBOTEUA";20,9
"150503 NOVO PROGRESSO";9,6
"150506 NOVO REPARTIMENTO";21,2
"150510 OBIDOS";12,8
"150520 OEIRAS DO PARA";16,7
"150530 ORIXIMINA";10,9
"150540 OUREM";19,5
"150543 OURILANDIA DO NORTE";13,0
"150548 PACAJA";20,5
"150549 PALESTINA DO PARA";23,0
"150550 PARAGOMINAS";13,3
"150553 PARAUAPEBAS";7,6
"150555 PAU D'ARCO";24,4
"150560 PEIXE-BOI";20,2
"150563 PICARRA";21,7
"150565 PLACAS";17,3
"150570 PONTA DE PEDRAS";14,7
"150580 PORTEL";29,8
"150590 PORTO DE MOZ";18,9
"150600 PRAINHA";16,3
"150610 PRIMAVERA";21,4
"150611 QUATIPURU";22,7
"150613 REDENCAO";11,7
"150616 RIO MARIA";16,3
"150618 RONDON DO PARA";20,3
"150619 RUROPOLIS";18,7
"150620 SALINOPOLIS";10,4
"150630 SALVATERRA";9,0
"150635 SANTA BARBARA DO PARA";8,3
"150640 SANTA CRUZ DO ARARI";11,9
"150650 SANTA IZABEL DO PARA";9,7
"150655 SANTA LUZIA DO PARA";24,3
"150658 SANTA MARIA DAS BARREIRAS";18,8
"150660 SANTA MARIA DO PARA";18,5
"150670 SANTANA DO ARAGUAIA";16,5
"150680 SANTAREM";7,3
"150690 SANTAREM NOVO";17,1
"150700 SANTO ANTONIO DO TAUA";11,7
"150710 SAO CAETANO DE ODIVELAS";12,7
"150715 SAO DOMINGOS DO ARAGUAIA";18,2
"150720 SAO DOMINGOS DO CAPIM";21,0
"150730 SAO FELIX DO XINGU";13,1
"150740 SAO FRANCISCO DO PARA";14,9
"150745 SAO GERALDO DO ARAGUAIA";20,7
"150746 SAO JOAO DA PONTA";8,3
"150747 SAO JOAO DE PIRABAS";20,7
"150750 SAO JOAO DO ARAGUAIA";24,4
"150760 SAO MIGUEL DO GUAMA";16,2
"150770 SAO SEBASTIAO DA BOA VISTA";14,8
"150775 SAPUCAIA";21,7
"150780 SENADOR JOSE PORFIRIO";24,3
"150790 SOURE";9,8
"150795 TAILANDIA";13,7
"150796 TERRA ALTA";9,6
"150797 TERRA SANTA";7,2
"150800 TOME-ACU";15,8
"150803 TRACUATEUA";21,1
"150805 TRAIRAO";20,7
"150808 TUCUMA";13,1
"150810 TUCURUI";9,3
"150812 ULIANOPOLIS";13,1
"150815 URUARA";14,1
"150820 VIGIA";10,1
"150830 VISEU";20,6
"150835 VITORIA DO XINGU";17,7
"150840 XINGUARA";11,6
"Total";11,6
 Fonte: IBGE - Censos Demográficos
 Consulte o sítio da Secretaria Estadual de Saúde e do
 IBGE para mais informações.
