 Taxa de desemprego - Pará
Taxa de desemprego 16a e+ por Município
Período:2010
"Município";"Taxa_de_desemprego_16a_e+"
" MUNICIPIO IGNORADO - PA";...
"150010 ABAETETUBA";8,55
"150013 ABEL FIGUEIREDO";10,97
"150020 ACARA";7,31
"150030 AFUA";11,76
"150034 AGUA AZUL DO NORTE";13,52
"150040 ALENQUER";6,56
"150050 ALMEIRIM";10,67
"150060 ALTAMIRA";6,63
"150070 ANAJAS";5,99
"150080 ANANINDEUA";10,98
"150085 ANAPU";3,59
"150090 AUGUSTO CORREA";3,81
"150095 AURORA DO PARA";8,01
"150100 AVEIRO";6,07
"150110 BAGRE";12,11
"150120 BAIAO";4,10
"150125 BANNACH";6,16
"150130 BARCARENA";13,11
"150140 BELEM";10,07
"150145 BELTERRA";12,01
"150150 BENEVIDES";13,60
"150157 BOM JESUS DO TOCANTINS";6,23
"150160 BONITO";6,55
"150170 BRAGANCA";5,75
"150172 BRASIL NOVO";4,05
"150175 BREJO GRANDE DO ARAGUAIA";3,94
"150178 BREU BRANCO";12,69
"150180 BREVES";8,46
"150190 BUJARU";3,27
"150195 CACHOEIRA DO PIRIA";4,98
"150200 CACHOEIRA DO ARARI";10,34
"150210 CAMETA";6,49
"150215 CANAA DOS CARAJAS";10,75
"150220 CAPANEMA";8,88
"150230 CAPITAO POCO";5,83
"150240 CASTANHAL";9,52
"150250 CHAVES";6,15
"150260 COLARES";4,85
"150270 CONCEICAO DO ARAGUAIA";7,01
"150275 CONCORDIA DO PARA";5,04
"150276 CUMARU DO NORTE";7,63
"150277 CURIONOPOLIS";11,39
"150280 CURRALINHO";6,76
"150285 CURUA";3,66
"150290 CURUCA";8,10
"150293 DOM ELISEU";12,93
"150295 ELDORADO DOS CARAJAS";5,84
"150300 FARO";2,71
"150304 FLORESTA DO ARAGUAIA";12,54
"150307 GARRAFAO DO NORTE";2,52
"150309 GOIANESIA DO PARA";8,38
"150310 GURUPA";4,28
"150320 IGARAPE-ACU";11,67
"150330 IGARAPE-MIRI";8,54
"150340 INHANGAPI";7,21
"150345 IPIXUNA DO PARA";10,62
"150350 IRITUIA";3,98
"150360 ITAITUBA";7,11
"150370 ITUPIRANGA";8,67
"150375 JACAREACANGA";6,82
"150380 JACUNDA";15,28
"150390 JURUTI";8,74
"150400 LIMOEIRO DO AJURU";4,28
"150405 MAE DO RIO";7,04
"150410 MAGALHAES BARATA";4,83
"150420 MARABA";9,59
"150430 MARACANA";4,70
"150440 MARAPANIM";4,52
"150442 MARITUBA";14,44
"150445 MEDICILANDIA";2,41
"150450 MELGACO";14,25
"150460 MOCAJUBA";11,57
"150470 MOJU";5,93
"150475 MOJUI DOS CAMPOS";...
"150480 MONTE ALEGRE";6,91
"150490 MUANA";9,83
"150495 NOVA ESPERANCA DO PIRIA";1,75
"150497 NOVA IPIXUNA";6,44
"150500 NOVA TIMBOTEUA";6,40
"150503 NOVO PROGRESSO";3,45
"150506 NOVO REPARTIMENTO";4,57
"150510 OBIDOS";5,58
"150520 OEIRAS DO PARA";4,43
"150530 ORIXIMINA";9,96
"150540 OUREM";6,51
"150543 OURILANDIA DO NORTE";6,91
"150548 PACAJA";4,29
"150549 PALESTINA DO PARA";6,39
"150550 PARAGOMINAS";9,97
"150553 PARAUAPEBAS";10,53
"150555 PAU D'ARCO";8,66
"150560 PEIXE-BOI";10,69
"150563 PICARRA";11,46
"150565 PLACAS";6,11
"150570 PONTA DE PEDRAS";9,52
"150580 PORTEL";8,50
"150590 PORTO DE MOZ";5,27
"150600 PRAINHA";4,11
"150610 PRIMAVERA";14,28
"150611 QUATIPURU";9,37
"150613 REDENCAO";7,50
"150616 RIO MARIA";6,84
"150618 RONDON DO PARA";11,34
"150619 RUROPOLIS";8,52
"150620 SALINOPOLIS";5,98
"150630 SALVATERRA";4,96
"150635 SANTA BARBARA DO PARA";11,45
"150640 SANTA CRUZ DO ARARI";11,22
"150650 SANTA IZABEL DO PARA";10,09
"150655 SANTA LUZIA DO PARA";7,82
"150658 SANTA MARIA DAS BARREIRAS";4,44
"150660 SANTA MARIA DO PARA";4,77
"150670 SANTANA DO ARAGUAIA";17,71
"150680 SANTAREM";8,71
"150690 SANTAREM NOVO";5,60
"150700 SANTO ANTONIO DO TAUA";8,27
"150710 SAO CAETANO DE ODIVELAS";7,62
"150715 SAO DOMINGOS DO ARAGUAIA";7,36
"150720 SAO DOMINGOS DO CAPIM";4,07
"150730 SAO FELIX DO XINGU";7,97
